recipient address,amount wei
0x103ca065db4ed55afc29724fa2fdaddc71a0fc0f,161832447748875935013721
0x59047700a48846437c5fd6dda228e05d096b5b5c,108425284434859013741568
0xc16d2e43904d5359f6c2f2e9b5417f09b84702c1,96275967213655421782469
0xb14076cd1f3ca3953840522cbe4f3eeb48a2ca68,30096803837475681252694
0x869d4b5bd174ffe7c15775bb71e007c290c42761,27079132857732048769430
0xd1a1573fd3a22d9b37e12cd437c9c44de247f8ff,26955094058777160484917
0x639aae6253480eed8d68813efb9e3825c1bf402c,26417652017490779679282
0xb70fe3afc4d9c1e118db5ba8f341f6e51ab9f795,25050507619063562734127
0x25072d7a24dc21edd8403cf5011b8c0467442493,21726093001644510633892
0xba30ef8af840e5f86aaee59280b1bc17717a54ef,21503088715331469547231
0x24df721bcbf7a4f40f1ac4a2289e7aa861c8e237,20665723459919515673963
0xabca8a8b5787860aa8f6c478747314bccb702e61,16661744744509296378656
0x1f4fb5ce1c8ec71090ca2fe5072c14d93416454d,13108582545826235374884
0x21ff3c05de1c752c4ab87af330f409e691302edc,12824758198725904081334
0x45b834a360488b9a51e46f8d76e022a147b54460,12104500457736516067157
0xed6d3fa8faee04893624dd13d3e9726f3898c0b6,11246321901141802186083
0x04cd292e81375cb7c80ded796603f84c40a4111d,11199863155753925850483
0xa92c68a323a9e079530791656bd27169a9e2a6ba,11050393637494821840959
0xd2faa1201ef9e480721f1fbd3417adf78c6b7063,10631768667059183155841
0x623cf57e14b12a3fd45df829de46a23b5ce9e3dd,9766582735430174298605
0xa607b4f45c57c3078ee313fc4ceed372f1e6cccd,9578594847985525900194
0x820e9b01dd1fa16e9cb79ae54c6a66da4abf9562,9496271406278403044223
0xf3f607e9f1f92601d03ea591f081ec971fd7100b,8460638046444162496732
0xbab1059a5ddaee7f716051f81795b952cb86daac,8326790390429560243124
0x57a9e5312429884e5125059cdfacad9a891db0f8,8311741232190482776521
0x928797d6aab0e15371cddd3f5d15c1cf4da98f16,8305131946080755314214
0x140703d517e5285a21e673b6dc57c2e0784768fd,8177183140534683138007
0xe24b6732800967352725f98688d3fa7aaffa3c9e,8112580572605858364450
0x71eeb63a0edeb36d8a604c31b8f66bb74faf3921,7649214065538582557269
0xb83f6ec41a81c47d7dde14348c816ae752c9bd03,7606504793781123483944
0x603fe4b88d2bf59247fac064b44a79cfc7de14b1,7321734816639170598250
0x9376cd921c608adb895238a93580123c337bf1c2,7278160223678347564169
0x36ec6329994b2391f3de82199a1386f7147f4b94,7194677619466317252509
0x6d04683250c103f5960b5dd6972c5a8a974c430c,7106072890574057951090
0x5f767b0e9072a796ab2be46f1e31aa9d1881dc5b,6997530063192510801739
0xc9845e7334edaddb067b71e2169ab2443b27bf75,6836240109899161308952
0xa11e7ae3ffebfbae7fe2eea4d8c05d89ac7c6ea1,6562822923533274970883
