recipient address,amount wei
0xc16d2e43904d5359f6c2f2e9b5417f09b84702c1,347955545233790468113225
0x29566e4affd4403b09f43b1b38348e52612bf867,134572267045064728396167
0xf5228b56c2c4159244b763c4199b57c285051aaa,122758724970809052970477
0x04cd292e81375cb7c80ded796603f84c40a4111d,111574898206912460862259
0xf3f607e9f1f92601d03ea591f081ec971fd7100b,110602904741763440821109
0xa0037c030d0bb693d8934caeda1851cf216131f2,106022105789599231391277
0x140703d517e5285a21e673b6dc57c2e0784768fd,104403941882390660075047
0x2b462b16cb267f7545eb45829a2ce1559e56bda4,87101217851335854657964
0x5f767b0e9072a796ab2be46f1e31aa9d1881dc5b,75645323330865116452209
0xd5a22c790c948cd0062bb3f1f657d566f8407c25,63147695233048448708682
0x1347e2a53f74a8794833d31260f7742684ffb894,51165975478770467231453
0x004b67b93a4abfbf4219a80c12e8048e8940119e,43145981328375590098990
0xed6d3fa8faee04893624dd13d3e9726f3898c0b6,41712668741846310881554
0x103ca065db4ed55afc29724fa2fdaddc71a0fc0f,41106124175784522407558
0xb82be9e3590c4d76edd29c0ad36f95fce2af9620,38091345665612619059453
0x7d78cf703f0df1292b8c0fca0fc554906377425f,36724754246125185884024
0x41c593efc397b77ff910cb4e1adf163bf42a5bf2,36337239407768118737448
0xbd437b04b98f307ecc3be776bcdd95ae27db61de,35324751201901827380807
0x4876ab76a3af12b375c19e76cb0cbb45ce023fe8,34720484943798491087143
0xa58403fdb6a987304897dda6d2b8744d61d7d45a,34466449499545059040882
0x3c1c84132dfdef572e74672917700c065581871d,34163919273923284517284
0x71eeb63a0edeb36d8a604c31b8f66bb74faf3921,30633150634140242442042
0x1f4fb5ce1c8ec71090ca2fe5072c14d93416454d,28788432332125845801304
0xd507b55a3c55d704375a93c24b7092c13c061e04,25898887932755355785040
0xec2fb6ae7213de35c04e3529cc3ab28ab5ad69ed,17950266967012558241493
0x639aae6253480eed8d68813efb9e3825c1bf402c,14847448762773603853268
0xa7db569237278963bd4943f28691ab5d887686b6,14496651113393682452744
0x869d4b5bd174ffe7c15775bb71e007c290c42761,13727735433994703945048
0xdc46c13325cd8edf0230d068896486f007bf4ef1,13137989658919532471524
0xdcd49739eff634dab9394d4d8f7bc7bd1b8bfaab,12583560309687781967348
0xb14076cd1f3ca3953840522cbe4f3eeb48a2ca68,12474408719433690429698
0x62e05c02fd3e2aa9374dc9fb8d3a619efe540bdd,9572732823567512773917
0x7505f118dacfc0ecfa1f1398c244c67b58113510,7327815928741709211294
0xb70fe3afc4d9c1e118db5ba8f341f6e51ab9f795,7020077588044433540486
0x172b8e8fa5a6729fdcd494e9d4d702f670321f91,5352220907890593487584
0xd2faa1201ef9e480721f1fbd3417adf78c6b7063,5251323975513639906673
0xa3bdb0fd287bb109ff8d34c584ae00f1e53e467d,5075349628007741751882
0xc14556021bd7fc705c20157f5b46e540698a9b62,4895671521449539025389
0xa11e7ae3ffebfbae7fe2eea4d8c05d89ac7c6ea1,3932247893259891978009
0x4b5e1dcd48ef1d48b608aa0cc09f0bcb70caaab3,3559318079496528890354
0x55f6c45ba5c2e4c4cf5d764be8cc699c8d2767fc,3323915141395919602245
0xc9bc2f988bc694c918f45a3043e1c87d67b79ad3,3317194238192025158511
0xb074efc82ddaaf4f7d347ee920dc8acd3fbbd924,3279997781117675813851
0x26ed991954929922816cacbb3aeef6c991d69265,3174250166275622090104
0x6e654785d5f4517ec49847ec03159e6d97304576,2897165942575926148723
0x8360134b80648f0d18e64683040b6050e2c1b397,2441481364728782821319
0x4ca48c1be7c32c13da09725a461afd726ce84ae2,2350332887574664487287
0x078175ec8ca82e772b2564775210f63af3432cb1,2198459605321930120215
0x21ff3c05de1c752c4ab87af330f409e691302edc,2161764342092335959964
0x3c4a95e52ecf28ac085eb5b59d4d691778afda7a,2138739944903899456740
0x7664432b0cc2630139b8598b2cb3a3cd34fdea92,2130520155652647228869
0x0e9b063789909565ceda1fba162474405a151e66,1936045928188326548491
0xab9e9e191bcad4ef94137102bef0a719d2fecc52,1896895164168347799197
0xea04812dd7467ed61fdf3180ce6271e8828e72de,1751702806000989333882
0xd14c99b29e1931b44d4301df15ad17efff688c0e,1720753068033877294570
0x64243639fdddcde1bce555618a4528b8ea3505c1,1552410476704720794238
0x62d02b1ecd2ae1315ae4f2959b39b71427aee101,1515618349719137221303
0xc43a5c7c55ff4ce40c54d8350803041e95084adb,1513532060122213847893
0x078255d40df5b1834d1fbbf80c6549ce54d1e5c7,1487393155734172367214
0x5d23da297a2bda0f00550091623690558b38c7b2,1257829713731518981180
0xb4778d16e1f8159c033e5452c4ad9a2396746702,1163179215072845467230
0xa281c46bef794568c60494bc3c4e9f2d677381b3,1162450868244790742298
0x1401826b9142cb1726380708eab3443378b78c78,1067747757781892636819
0x013a22a4dcc363310307c9b43d002799ff8509d8,1048334417585320861425
0x81c4c93ceee4e9959ce71d6d906198b2bd7176fd,1036419820519705299960
0x99a144ddbc8a0e2938878c2655fc1ce9620639f7,1032982218649136899697
0xda2926213fd4a810ee8c8c10dec27e3db3d2e024,1021494467268318909951
0x404767bb6e4ec4b8d0633d0313a01cbd7376d2ed,935645787375177510241
0xce2141e5510b3712a8b781b757dbac05c5cf62ea,929643487805113950619
0x9de6b1e6971b4a4720a8a1030468508e29fc2878,907478291158153664163
0xc7ee55173680b54daa05a777901c9742338f771f,891670795197525420261
0x838d720b4cc42dc7ebdee60ab8ecc04bbedbe459,885514311197441947420
0x6a458d1ac0fcf70cb5ba83e78c34efa7565ba1b3,860493387871132524772
0x7fe5e77da72fa1fd2dbce564094162f4c4fc5b71,793200221718203132600
0x683200fb57409b116e98d27aab7cb876703a88d4,789586319930856274614
0x28de514641034f2d900cf17c25cefbfec851559a,664295689717534820810
0x6b711ee0b5e59777bbe00c0ec07e2455a8c3e39a,545234386624293730907
0x97d745f411e88cc6224dd991bb344c3d6d8b4ed6,540628335480681103616
0x492cf24a0162bcd72265d4b7542836a5593d62ac,536124678835589144698
0xf5dcee91409cf103f84b209425aacfba335d6bf3,526676285976023624352
0x3fee441b642f782aaaad78064be04f42e924c17b,516675348326066054162
0x0c5a025902a071444d537d27da026ab1dc646733,516556123754873878567
0x648537ece8c8022208212a61dc41441bd0dea23f,509811165817978342499
0x50ab8ea0a6f062b70bcd2619afc112168873544c,454870155218482492114
0x5006ffaec38fbfa960eb82ff4ba4a95f98fba6aa,452682997372038845362
0xf53a28380519c51a06aee67dace98218150a29da,449266917378857782382
0x14aba78f570a023a5bbe4f827fdcc31632beeef4,447003378019025253043
0x22be331720a051e0a02d0ce58c76db9e0820c7b6,445758024874948070591
