recipient address,amount wei
0x21ff3c05de1c752c4ab87af330f409e691302edc,118306159955269834381208
0xb70fe3afc4d9c1e118db5ba8f341f6e51ab9f795,45126885085189238404307
0xc16d2e43904d5359f6c2f2e9b5417f09b84702c1,38348757500778355410270
0xd2faa1201ef9e480721f1fbd3417adf78c6b7063,22827833663859721591371
0xa607b4f45c57c3078ee313fc4ceed372f1e6cccd,19598598893894046202802
0x517864ca89a6de02502b45e70294dce2016a49e0,7834074031423334031540
0xba30ef8af840e5f86aaee59280b1bc17717a54ef,6480923855538088202462
0x6a836bddaf968c342e0a86ca21e67b4464ef6a1c,5985353157692794868176
0xd1a1573fd3a22d9b37e12cd437c9c44de247f8ff,5056669152530030148954
0xe74879d0721077e632e0c87ae2857423e40d4855,3903791315537885800903
0x59047700a48846437c5fd6dda228e05d096b5b5c,3891257051809419185422
0x62d02b1ecd2ae1315ae4f2959b39b71427aee101,3747958340927585410371
0x36ec6329994b2391f3de82199a1386f7147f4b94,2597205962735835957010
0x57d539ad75e1ae12ece5a405d898916a6fb68faa,1603778359154449589205
0x6b711ee0b5e59777bbe00c0ec07e2455a8c3e39a,1462685433560624943659
0x3d4a243407634b917166b44818fd5b95b4851c2d,1345577560678228597190
0xe8bd64ed3ae0a16ebc76b74ef98336742f58f1fb,1330102195431211905875
0x3c1c84132dfdef572e74672917700c065581871d,1200075665585781771132
0xabca8a8b5787860aa8f6c478747314bccb702e61,1076482392450294769315
0xbaf4f541633533e6044962c491251d6aeda4e131,942894796843010496440
0xb83f6ec41a81c47d7dde14348c816ae752c9bd03,868341445343518170361
0x1dbe2c010cdeba22606798438ebd3075980924fa,669276553598457351384
0x77e45b1034b32f05f60f0df9d7182633f1f621ee,641694793061724510238
0x64b53691a7a26744e4fc05120ed6dbdb02ca335a,605298607923085861359
0x002ab7e9fdd61a4e64541a786034f5e36693a627,572656836011474871807
0xda614b9fc056430e890bdd6a4c0df9e2b351643b,525894914626910310996
0x71eeb63a0edeb36d8a604c31b8f66bb74faf3921,520431835634503520823
0xd6e402fdb1841d81cdbf66919e8a7b3309e16099,500075440071472104431
0x38c76d307521182891e90be38b826064e7f0fcb5,482363971904213214697
0xdac9c53972ceb15d55ca63b5ca73d656825b026d,459552795139626537100
0x4876ab76a3af12b375c19e76cb0cbb45ce023fe8,399936948371489820821
0x092c0f2af38dbf75415f896225ed9c9435f548c0,201173980583144523924
0xa02f65c8e2e3d8539c25bdc8285f663bf2229a5d,183821314460301166509
0x4f3973a294b3d2f96f6cf1a783ae95cc61904499,163525547799281486236
0xb5b5ac6f6064f0de452149e9c7bac376bf71f734,135142678242129454140
0x13d211560571a5e065f0fa4195456949085135d4,96054983801210076530
0xca977a85327dd36494d57ff11ca3be02af1142aa,65150429263276272448
0x1f4fb5ce1c8ec71090ca2fe5072c14d93416454d,53394306893826603019
0x7fcebd30aedb2a6cda68df4205bb45339c21a00d,46359765655801408721
0xfd6597554f07daf3c1f1d408d1eef3caa0dab8d9,34482735622311007682
0x93acbf50da57390fd1dddff40178920636b686e0,30093984021505146200
0xf48c45431670c55f76799b447e6e566465c09a38,24703732429708184104
0x1aa9f1d63f6fb2f59b52ff4d14e35d554ea50774,24242615751251612549
0x770c4d67f26be9d7a44ede7c5a641a14aceb5f33,19915056856977218563
0xadbb45d3361223815f98a252753207548c4331f2,4971126869448861777
0x8aa4935c541d3be452ff3c5147afc57fd3fdeffb,4379229173579035934
