recipient address,amount wei
0x8681b9982806909127d49d46347bf2769a2e3e8e,189023518944359301840249
0x7b348860bea02c43eecb4b2c68a7c0b6044f1e84,148676795231712769268363
0x8360134b80648f0d18e64683040b6050e2c1b397,143395996579347789918420
0x43039ca8f2bf2030777c03e89eec5fcfa6a8d1e6,129961355665427331030047
0x103ca065db4ed55afc29724fa2fdaddc71a0fc0f,123507105135772613218394
0xc16d2e43904d5359f6c2f2e9b5417f09b84702c1,122211528728627069279579
0x3b6dfed46945b61a5178f1ee222e23b59737d25b,111040990998729359113908
0xf5ba9563e850e905e91f7c9008dbbf89982cfa4a,95525184155937780036426
0xa0037c030d0bb693d8934caeda1851cf216131f2,77351556512341325532381
0x24df721bcbf7a4f40f1ac4a2289e7aa861c8e237,70266400672340454455608
0x29566e4affd4403b09f43b1b38348e52612bf867,67130092886958469943531
0xec2fb6ae7213de35c04e3529cc3ab28ab5ad69ed,45706319933215798672490
0xb14076cd1f3ca3953840522cbe4f3eeb48a2ca68,38849896716985587184014
0x639aae6253480eed8d68813efb9e3825c1bf402c,37805690834040097700259
0x869d4b5bd174ffe7c15775bb71e007c290c42761,34954592533791700993846
0xf3f607e9f1f92601d03ea591f081ec971fd7100b,31865335210975394593837
0xd5a22c790c948cd0062bb3f1f657d566f8407c25,29914299876464859077162
0x140703d517e5285a21e673b6dc57c2e0784768fd,29735766204997239294146
0xf5228b56c2c4159244b763c4199b57c285051aaa,25023084645705014788292
0x5f767b0e9072a796ab2be46f1e31aa9d1881dc5b,24597837329672706197227
0x59047700a48846437c5fd6dda228e05d096b5b5c,22489963606408668726817
0xca977a85327dd36494d57ff11ca3be02af1142aa,19308853426468786486345
0xc9845e7334edaddb067b71e2169ab2443b27bf75,17807597275003838085072
0xadb28f8177cd553c90258058fa24ea80fbf7d8a2,17512008892242681098247
0x1f4fb5ce1c8ec71090ca2fe5072c14d93416454d,16657109583283521969559
0x66b6279cfa615a2fbd6f851327ecad2109a77b1e,16208060196218352154854
0xd1a1573fd3a22d9b37e12cd437c9c44de247f8ff,15519976060040818921477
0x3c1c84132dfdef572e74672917700c065581871d,14628709077096037637403
0x1347e2a53f74a8794833d31260f7742684ffb894,13595355216573368818167
0xb82be9e3590c4d76edd29c0ad36f95fce2af9620,13410460416740190700910
0xd2faa1201ef9e480721f1fbd3417adf78c6b7063,13371316100138155238046
0xed6d3fa8faee04893624dd13d3e9726f3898c0b6,12889136575423200426569
0x71eeb63a0edeb36d8a604c31b8f66bb74faf3921,12609844974081267808364
0xdcd49739eff634dab9394d4d8f7bc7bd1b8bfaab,10995598461645022866719
0x7d78cf703f0df1292b8c0fca0fc554906377425f,10933990363692099478151
0xbd437b04b98f307ecc3be776bcdd95ae27db61de,10517170153212599621310
0x04cd292e81375cb7c80ded796603f84c40a4111d,10339137359646228739107
0xa58403fdb6a987304897dda6d2b8744d61d7d45a,10261629640134840862335
0x55f6c45ba5c2e4c4cf5d764be8cc699c8d2767fc,8463602751017281963119
0xc9bc2f988bc694c918f45a3043e1c87d67b79ad3,8446489481747142554484
0x078175ec8ca82e772b2564775210f63af3432cb1,8392234397374574538346
0xb074efc82ddaaf4f7d347ee920dc8acd3fbbd924,8351777064904169712057
0x4876ab76a3af12b375c19e76cb0cbb45ce023fe8,7607310925399413101158
0xd507b55a3c55d704375a93c24b7092c13c061e04,7266165684490867859668
0xe24b6732800967352725f98688d3fa7aaffa3c9e,7155788968374053446705
0x21ff3c05de1c752c4ab87af330f409e691302edc,6977968674550912181193
0x3c4a95e52ecf28ac085eb5b59d4d691778afda7a,5445820519291977437293
0xea04812dd7467ed61fdf3180ce6271e8828e72de,4460317444087462758094
0xc43a5c7c55ff4ce40c54d8350803041e95084adb,3853869176221969312041
0x078255d40df5b1834d1fbbf80c6549ce54d1e5c7,3787312331755026159241
0xc14556021bd7fc705c20157f5b46e540698a9b62,3497926229760689375123
0xb70fe3afc4d9c1e118db5ba8f341f6e51ab9f795,3255275719930258130526
0xc18dc1b9402c8aeb275d3d67657f907d7865ef06,3087595073582603108879
0x518dd771365a99d1a78f52857d3e12aca4c4654c,3033844509378018979826
0xb4778d16e1f8159c033e5452c4ad9a2396746702,2961774409343753170160
0xa281c46bef794568c60494bc3c4e9f2d677381b3,2959919837865424199191
0x50ab8ea0a6f062b70bcd2619afc112168873544c,2955633053128707756342
0x172b8e8fa5a6729fdcd494e9d4d702f670321f91,2929211460863700348050
0xf5dcee91409cf103f84b209425aacfba335d6bf3,2866852386493577167190
0x62e05c02fd3e2aa9374dc9fb8d3a619efe540bdd,2850071310092694327163
0x013a22a4dcc363310307c9b43d002799ff8509d8,2669347947593820512355
0x99a144ddbc8a0e2938878c2655fc1ce9620639f7,2630257023901983006116
0xa3bdb0fd287bb109ff8d34c584ae00f1e53e467d,2625715076394505192228
0xda2926213fd4a810ee8c8c10dec27e3db3d2e024,2601006047251339119385
0x7505f118dacfc0ecfa1f1398c244c67b58113510,2389319123837478446007
0x7fe5e77da72fa1fd2dbce564094162f4c4fc5b71,2234541545298947470766
0x6f0cfe7030b567868787d36bcbdc227348b24c3c,2149204210068156768732
0x152c6f22dd470d904307bd3fed09d9f4f27c4a64,2041228571745343727078
0x683200fb57409b116e98d27aab7cb876703a88d4,2010504078851394757090
0xa11e7ae3ffebfbae7fe2eea4d8c05d89ac7c6ea1,1750372019418130244700
0x28de514641034f2d900cf17c25cefbfec851559a,1691479652101190782142
0x0e6c5c610739ddf254147a38f811ea935f91e10f,1652800431859401578679
0x6b711ee0b5e59777bbe00c0ec07e2455a8c3e39a,1437672734128523216864
0x186dc94fa7dabdd2f5569338d67d5b3f6d58699c,1436540141485126960835
0x0c5a025902a071444d537d27da026ab1dc646733,1315294056583685634008
0x62d02b1ecd2ae1315ae4f2959b39b71427aee101,1295955026113622663752
0xf53a28380519c51a06aee67dace98218150a29da,1143957217954692533405
0x14aba78f570a023a5bbe4f827fdcc31632beeef4,1138193623777956427402
0x22be331720a051e0a02d0ce58c76db9e0820c7b6,1135022611929629521770
0x43404bf9fafbdd93eb548ca8e886d0e54d92cbbf,1090267919392799328434
0x68cec1489842ece5d253855d24dea65694249362,1068518577499525991872
0x4b5e1dcd48ef1d48b608aa0cc09f0bcb70caaab3,1059708917906136622777
0xa7db569237278963bd4943f28691ab5d887686b6,970790582988036633153
0x56fca41652f64cd204f07056f598cee79745abaf,814268311773794782535
0x76a74db6fc98ac7aebc96c2e97c19d74dc828637,764386025819346271613
0xf88ed04c5556853862b79f37bb3c062db8b5eba6,752981104723633581641
0x403c82b10b6309601a38513b2430998fab87c1fe,751505698254994161536
0xaa543db2074ddd6d5f9293185b519ff030e52d40,686474198684166027198
0xc8b90a411b1830e5246251633fd5399d7defb7f4,669511708716236385639
0xd814d1e28b449ec0964e2caab70c5f268c5052e8,644624703481335935367
0x1c14e47baae4cbc7c2d5a2b05a76281d82805436,606751632516381438087
0x6a458d1ac0fcf70cb5ba83e78c34efa7565ba1b3,569953163960181961373
0x01db901a9f15b81fbf0650fa1c146f96b68282f2,466489389947896035925
0x838d720b4cc42dc7ebdee60ab8ecc04bbedbe459,425358550607571643984
0xb92b0092c51cd380fcc8806757897c31409e277c,420757610847563159236
0x648537ece8c8022208212a61dc41441bd0dea23f,412936404495003564079
0xce2141e5510b3712a8b781b757dbac05c5cf62ea,335579122640107891142
0x64243639fdddcde1bce555618a4528b8ea3505c1,328661452248752394685
0x1d59a0d0d1bc18e8738c7d5060888737dd002707,310058127927946471744
0x4bf1a6c4178e2ebdeb6a005c827c491532e32f9f,293943004055318777716
