recipient address,amount wei
0x2b462b16cb267f7545eb45829a2ce1559e56bda4,318931742549695963881252
0x869d4b5bd174ffe7c15775bb71e007c290c42761,174006999972167929622662
0xc16d2e43904d5359f6c2f2e9b5417f09b84702c1,162515902442597968882029
0xb14076cd1f3ca3953840522cbe4f3eeb48a2ca68,158728001995948433520648
0x50d488a8c23e9e1d30adec65dee0e4c55b80365d,130374931010787299769857
0x41c593efc397b77ff910cb4e1adf163bf42a5bf2,86301333241546805692082
0x7c7d72a4153a8c92b9c69b26d1f4e7df168ff3d6,79047300164379934962209
0x7664432b0cc2630139b8598b2cb3a3cd34fdea92,59891828747668067588454
0x55f6c45ba5c2e4c4cf5d764be8cc699c8d2767fc,58567686522744156471913
0x639aae6253480eed8d68813efb9e3825c1bf402c,58527381585361277678094
0xb074efc82ddaaf4f7d347ee920dc8acd3fbbd924,57793858648004130231607
0x4ca48c1be7c32c13da09725a461afd726ce84ae2,57094849777988998106495
0xef53d5b8b8479ca82af3156cdc4d54085a4b43fb,47629255184635297002857
0xa4400c4b4accbdf91171adf9bbeb9e1df6def0c1,47511895147451710312015
0xf5228b56c2c4159244b763c4199b57c285051aaa,47223277611170895863825
0x233c34f84ec49d414278b16635a3800c5274505c,39352845408821473134980
0x140703d517e5285a21e673b6dc57c2e0784768fd,37492943771913729613786
0xb2c41a8d0337e19d856973cfe71b7b6f81ca4303,34309416015207922034927
0xd14c99b29e1931b44d4301df15ad17efff688c0e,30319825261644415921334
0x078255d40df5b1834d1fbbf80c6549ce54d1e5c7,26194714477207768739935
0xa0037c030d0bb693d8934caeda1851cf216131f2,24781047690315361319206
0x97e21a7f3b82daf63fe991c98698285c181bbd8f,24268849709359053046235
0xf3f607e9f1f92601d03ea591f081ec971fd7100b,23937724931704423320685
0x013a22a4dcc363310307c9b43d002799ff8509d8,18471747601340859345128
0x822c3175b8331a4c6130307677408bb2b7f12b6d,16323099460328803530589
0xa7db569237278963bd4943f28691ab5d887686b6,15725513974463865535180
0xc43a5c7c55ff4ce40c54d8350803041e95084adb,13912692820449618192604
0xdc46c13325cd8edf0230d068896486f007bf4ef1,10687551138056470771396
0x172b8e8fa5a6729fdcd494e9d4d702f670321f91,10252173899800212965438
0x16d4f2a4261d9f877fd6fdfbb226994c1c811337,9924920760043718520080
0x97d745f411e88cc6224dd991bb344c3d6d8b4ed6,9525920347186743821727
