recipient address,amount wei
0x59047700a48846437c5fd6dda228e05d096b5b5c,161547093743793144169733
0xc16d2e43904d5359f6c2f2e9b5417f09b84702c1,132586308122950687804474
0x517864ca89a6de02502b45e70294dce2016a49e0,32038674296477949519156
0xb70fe3afc4d9c1e118db5ba8f341f6e51ab9f795,19965580553112134263257
0xe94ca2d70d1d8b8abf6e244119598bfc9536eca1,13951128953269507443194
0xba30ef8af840e5f86aaee59280b1bc17717a54ef,13617258470700423784519
0xd1a1573fd3a22d9b37e12cd437c9c44de247f8ff,13495631380130859298479
0xfb4ceb43d0c38dd9826aaae783ebaa576f7a720c,11944577134972370706660
0x21ff3c05de1c752c4ab87af330f409e691302edc,11068302056087662152129
0x36ec6329994b2391f3de82199a1386f7147f4b94,10666865362240444475217
0xb83f6ec41a81c47d7dde14348c816ae752c9bd03,9895124931934615517958
0xa607b4f45c57c3078ee313fc4ceed372f1e6cccd,9120137801366817040154
0x57d539ad75e1ae12ece5a405d898916a6fb68faa,6182747872118678934098
0x80ed9a16f42e38c6ebf43d19b1e2c3dfdb34788f,5975921338912925748664
0x02c03c6ab3955a78602b47dca2e675f86953466a,5806492346015100038214
0xabca8a8b5787860aa8f6c478747314bccb702e61,5742241037342710476779
0xbaf4f541633533e6044962c491251d6aeda4e131,5601351461606574381445
0x3d4a243407634b917166b44818fd5b95b4851c2d,4421087845018169232423
0x28de514641034f2d900cf17c25cefbfec851559a,3414036937191526163429
0xd2faa1201ef9e480721f1fbd3417adf78c6b7063,2924579405370554449625
0x77e45b1034b32f05f60f0df9d7182633f1f621ee,2454921531639503763681
0x3c1c84132dfdef572e74672917700c065581871d,2436850137345161219164
0x002ab7e9fdd61a4e64541a786034f5e36693a627,2092799833138846433470
0x5f339d24f72d02e3fc9020fa9f16695c554d6867,1400314788765673963820
0x1eeb33f734caf7b8c823760825bae2fb3acd0994,1024583527709085119550
0xb5b5ac6f6064f0de452149e9c7bac376bf71f734,848120652561061110512
0x4876ab76a3af12b375c19e76cb0cbb45ce023fe8,840319207469778545671
0x71eeb63a0edeb36d8a604c31b8f66bb74faf3921,836306189811540039418
0x6a836bddaf968c342e0a86ca21e67b4464ef6a1c,766811289963564871233
0x6b711ee0b5e59777bbe00c0ec07e2455a8c3e39a,618814214434773137540
0xd507b55a3c55d704375a93c24b7092c13c061e04,576224342745894566524
0xf1bee8834c4745726172dfbe9edc9ff08ef2245c,564377682993281960548
0xca977a85327dd36494d57ff11ca3be02af1142aa,535152673461055007527
0x62d02b1ecd2ae1315ae4f2959b39b71427aee101,509798892031067659433
0xda614b9fc056430e890bdd6a4c0df9e2b351643b,471623817462512487643
0xd5a22c790c948cd0062bb3f1f657d566f8407c25,455279462590581041923
0x086a4f4bfe0b4a0d51309b286123c30da2e47a63,454346394397525309922
0x13d211560571a5e065f0fa4195456949085135d4,394503013731109418479
0xea04812dd7467ed61fdf3180ce6271e8828e72de,387969349106975538370
0xa02f65c8e2e3d8539c25bdc8285f663bf2229a5d,386232334652540875512
0xe74879d0721077e632e0c87ae2857423e40d4855,383435123696258613707
0xe8bd64ed3ae0a16ebc76b74ef98336742f58f1fb,328920947750129800952
0x1f4fb5ce1c8ec71090ca2fe5072c14d93416454d,209573521354168135280
0xdac9c53972ceb15d55ca63b5ca73d656825b026d,155572125751983481948
0x09ec36b6cf27285205b8f6617d59e0e9705d865a,111399915513761360586
0x1dbe2c010cdeba22606798438ebd3075980924fa,110245846581410799575
0xcadbede22ed7b608227be830d1d1324fee7d3288,83232873262257916727
0x64b53691a7a26744e4fc05120ed6dbdb02ca335a,77547605650987149290
0x820e9b01dd1fa16e9cb79ae54c6a66da4abf9562,68572128109481641868
0xd6e402fdb1841d81cdbf66919e8a7b3309e16099,64066978702409360517
0x93acbf50da57390fd1dddff40178920636b686e0,63231349105233410189
0x38c76d307521182891e90be38b826064e7f0fcb5,61797880556541610207
0xf5dcee91409cf103f84b209425aacfba335d6bf3,48932877617117605365
0xf48c45431670c55f76799b447e6e566465c09a38,46715160595354287101
0x4f3973a294b3d2f96f6cf1a783ae95cc61904499,40913842644302433777
0x1aa9f1d63f6fb2f59b52ff4d14e35d554ea50774,28064416751399381122
0xadbb45d3361223815f98a252753207548c4331f2,20416686922730661494
0x8aa4935c541d3be452ff3c5147afc57fd3fdeffb,17987465965814705360
0x092c0f2af38dbf75415f896225ed9c9435f548c0,14336502429916813543
0x04127d0b7784ed0932fd7ebd7db5464be51a17f6,14321774881611836418
0xe4cd5dc0541f2f4b2b0bbb5b1ac73a2bf4f7b2f2,7383597017571568900
0x7fcebd30aedb2a6cda68df4205bb45339c21a00d,5939364105732564913
0x956647ef4f3f7cdcb1cb42cec653f63ce104f84e,4967126293659037800
0x3c938e75bc44e253191064d3de72c76142f2195d,4612752320357457008
0xfd6597554f07daf3c1f1d408d1eef3caa0dab8d9,4417742827761480425
0x770c4d67f26be9d7a44ede7c5a641a14aceb5f33,2551410089907387396
0x9bb62551ee90fe2a0929d098cadd77ffa393c6d3,352596877751828937
