address,cysFLR_snapshot1,cysFLR_snapshot2,cysFLR_average,cysFLR_penalty,cysFLR_bounty,cysFLR_final,cysFLR_rewards,cyWETH_snapshot1,cyWETH_snapshot2,cyWETH_average,cyWETH_penalty,cyWETH_bounty,cyWETH_final,cyWETH_rewards,total_rewards
0x517864ca89a6de02502b45e70294dce2016a49e0,889602236462585824117,0,444801118231292912058,0,0,444801118231292912058,1178821285214493463560,6744599156326804664874,0,3372299578163402332437,0,0,3372299578163402332437,17320574118109120923506,18499395403323614387066
0x623cf57e14b12a3fd45df829de46a23b5ce9e3dd,0,0,0,0,0,0,0,3517024045649339689221,3652608837754890337483,3584816441702115013352,0,0,3584816441702115013352,18412088676929849383623,18412088676929849383623
0xf3f607e9f1f92601d03ea591f081ec971fd7100b,0,0,0,0,0,0,0,3390212114685774294397,3390212114685774294397,3390212114685774294397,0,0,3390212114685774294397,17412575261331411171479,17412575261331411171479
0x3d4a243407634b917166b44818fd5b95b4851c2d,0,0,0,0,0,0,0,3370955070782717127576,3370955070782717127576,3370955070782717127576,0,0,3370955070782717127576,17313668551388329885706,17313668551388329885706
0xe5ede11105fdc631da8c2ad3bf9720e317d0983f,1060368433117148652434,0,530184216558574326217,0,0,530184216558574326217,1405105369449694146868,6039203171831973805968,0,3019601585915986902984,0,0,3019601585915986902984,15509070847288609255802,16914176216738303402670
0xa92c68a323a9e079530791656bd27169a9e2a6ba,6270822608037039184819,6270822608037039184819,6270822608037039184819,0,0,6270822608037039184819,16619066057101169732179,0,0,0,0,0,0,0,16619066057101169732179
0x4ba924bd8d82e87e70e35dfbf77a0484f6fc86fa,0,0,0,0,0,0,0,3220659214491379556380,3220659214491379556380,3220659214491379556380,0,0,3220659214491379556380,16541729268355672593552,16541729268355672593552
0xe7645f8bbbce282483e58dd6a15aa0706018b643,0,0,0,0,0,0,0,0,6401805880531823550760,3200902940265911775380,0,0,3200902940265911775380,16440258445823866376352,16440258445823866376352
0x140703d517e5285a21e673b6dc57c2e0784768fd,2,2,2,0,0,2,5,3163643318364441316341,3163643318364441316341,3163643318364441316341,0,0,3163643318364441316341,16248888127796364423796,16248888127796364423801
0xd2faa1201ef9e480721f1fbd3417adf78c6b7063,6008192939146073535988,6008192939146073535988,6008192939146073535988,0,0,6008192939146073535988,15923039381069930616475,0,0,0,0,0,0,0,15923039381069930616475
0xa607b4f45c57c3078ee313fc4ceed372f1e6cccd,3846705891936526579784,3846705891936526579784,3846705891936526579784,0,0,3846705891936526579784,10194620915986180395100,1047158487573083451467,1047158487573083451467,1047158487573083451467,0,0,1047158487573083451467,5378343701983467987909,15572964617969648383009
0xfeb86f7f2b60a00435a7d9419f2c440ab47512ee,0,0,0,0,0,0,0,2417968868658780680394,3453824486915274380791,2935896677787027530592,0,0,2935896677787027530592,15079151431266043293466,15079151431266043293466
0x71eeb63a0edeb36d8a604c31b8f66bb74faf3921,395462309954956759519,395462309954956759519,395462309954956759519,0,0,395462309954956759519,1048062537092330473239,2600106464700205792689,2600106464700205792689,2600106464700205792689,0,0,2600106464700205792689,13354488737724011449767,14402551274816341923006
0xe24b6732800967352725f98688d3fa7aaffa3c9e,2044975639941633757709,2044975639941633757709,2044975639941633757709,0,0,2044975639941633757709,5419637481340153025000,1686300872679372046156,1686300872679372046156,1686300872679372046156,0,0,1686300872679372046156,8661063044280912809478,14080700525621065834478
0x36ec6329994b2391f3de82199a1386f7147f4b94,0,0,0,0,0,0,0,2690740842477744973709,2690740842477744973709,2690740842477744973709,0,0,2690740842477744973709,13819998821142971618467,13819998821142971618467
